id,title,release_date,popularity
1087192,드래곤 길들이기,2025-06-06,904.7178
1071585,메간 2.0,2025-06-25,608.4451
552524,릴로 & 스티치,2025-05-17,565.4793
1311031,극장판 귀멸의 칼날: 무한성편,2025-07-18,508.5982
1315986,맨 위드 노 패스트,2025-01-13,382.1417
1061474,슈퍼맨,2025-07-09,333.5035
1011477,가라데 키드: 레전드,2025-05-08,317.8487
1119878,아이스 로드: 벤전스,2025-06-27,296.3004
1124619,브라이드 하드,2025-06-19,315.3122
617126,판타스틱 4: 새로운 출발,2025-07-23,279.4076
541671,발레리나,2025-06-04,252.489
1234821,쥬라기 월드: 새로운 시작,2025-07-01,237.1881
1374534,어쩌다 파트너,2025-07-10,219.4051
803796,케이팝 데몬 헌터스,2025-06-20,211.4319
986056,썬더볼츠*,2025-04-30,201.3352
574475,파이널 데스티네이션: 블러드라인,2025-05-14,195.4472
1058537,"천사의 몰락, 평화의 전사들",2024-07-09,235.2762
846422,올드 가드 2,2025-07-01,167.3005
749170,국가 원수,2025-07-02,156.9191
968171,性教育ママ,1973-11-20,108.2958
