id,vote_average,vote_count,rating_distribution
1087192,8.1,1193,{7.0: 1}
1071585,7.696,457,{6.0: 2}
552524,7.284,1030,"{7.0: 1, 6.0: 2, 9.0: 1, 8.0: 1}"
1311031,6.477,22,{}
1315986,6.823,31,{}
1061474,7.4,1125,"{8.0: 2, 7.0: 2, 6.0: 2, 9.0: 1}"
1011477,7.241,528,{6.0: 2}
1119878,7.025,139,{5.0: 1}
1124619,5.815,27,{}
617126,7.3,211,{7.0: 1}
541671,7.5,1131,"{7.0: 1, 6.0: 2, 8.0: 1, 10.0: 1}"
1234821,6.4,783,"{5.0: 4, 7.0: 1, 6.0: 1}"
1374534,5.871,93,{}
803796,8.53,775,{7.0: 1}
986056,7.4,1973,"{7.0: 3, 8.0: 2, 9.0: 3, 6.0: 3, 10.0: 2}"
574475,7.185,1734,"{7.0: 2, 9.0: 2, 8.0: 1, 6.0: 1, 10.0: 1}"
1058537,5.452,21,{}
846422,6.062,538,{5.0: 1}
749170,6.952,540,"{7.0: 3, 5.0: 1}"
968171,6.056,9,{}
